,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric
2,33.3,0.45105383526454174,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.0624104484633548
3,48.05,0.46700057689769775,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.0598021283866434
4,62.3,0.4731977543931973,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.4338695722963384
5,64.65,0.4542871452621937,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.5191828677447785
6,73.85,0.5030987812793773,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.586111495529658
7,74.65,0.5010283283861441,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.6531787198971513
8,69.2,0.5022833631878643,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.3402878075533975
9,54.0,0.4575062740756453,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.178511115517107
10,48.55,0.4352205431049876,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.163536599866748
11,45.25,0.41512580509326497,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.045653783584844
0,26.2,0.9474409039636122,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,5.722914336269384
1,19.1,0.9874577887516766,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.195152083837305
2,33.3,1.00695968830029,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,2.7429476597755875
3,48.05,1.0425601526548613,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,2.7394786677251974
4,62.3,1.0563951041203552,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.2369778055107017
5,64.65,1.0141779238475042,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.350442079449188
6,73.85,1.1231479534681665,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.4394552645265364
7,74.65,1.1185257500037225,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.528652779145183
8,69.2,1.1213275651174437,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.1125167008888877
9,54.0,1.0213645004668797,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,2.8973582686002026
10,48.55,0.971612495368428,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,2.877442585623505
11,45.25,0.9267517946210488,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,2.720661768648338
0,26.2,0.544686322889755,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,3.1727429747177394
1,19.1,0.56769213754007,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.771369573523593
2,33.3,0.5789038320215525,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.5206706594256834
3,48.05,0.5993706346910771,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.518747474923781
4,62.3,0.6073243854839472,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.7945574559213355
5,64.65,0.5830536150439195,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.8574612418015992
6,73.85,0.6457007780394766,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.9068095180498696
7,74.65,0.6430434608409432,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.956259985283855
8,69.2,0.6446542318825199,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.725557105381075
9,54.0,0.5871851972635567,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.6062748019279354
10,48.55,0.5585826357738654,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.595233689037154
11,45.25,0.5327920983059095,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.5083155200063856
0,26.2,2.023195992639775,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,12.354083123995533
1,19.1,2.108649344508409,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.897390406033077
2,33.3,2.1502943324443886,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,5.921214507594116
3,48.05,2.2263167170775207,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,5.913725977515062
4,62.3,2.255860320532104,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.98767979565394
5,64.65,2.165708386420693,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,7.232615677876776
6,73.85,2.3984065170629707,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,7.424768875174853
7,74.65,2.388536114078144,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,7.617319985553853
8,69.2,2.394519200818946,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.719005001334982
9,54.0,2.1810548348971013,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.254541442885894
10,48.55,2.0748127918104258,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.211549360791293
11,45.25,1.9790157984576926,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,5.873105845590653
0,26.2,4.5568485803013585,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,8.410502759277298
1,19.1,4.749315344055921,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.695655716374387
2,33.3,4.843112437784409,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.031087572793241
3,48.05,5.014337814241692,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.025989476701391
4,62.3,5.080878934305573,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.757123585168694
5,64.65,4.877829543904695,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.923872820430026
6,73.85,5.401936031913559,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,5.054688274710113
7,74.65,5.379704902555832,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,5.185774623157859
8,69.2,5.393180621378837,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.574213200295306
9,54.0,4.91239438201568,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.258012313453902
10,48.55,4.673105205401523,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.228743850432036
11,45.25,4.457341436224137,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,3.998335807205767
0,26.2,3.3911409915274002,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,7.45234421708115
1,19.1,3.534371981228522,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.1607075967874305
2,33.3,3.604174425576537,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,3.571849748044643
3,48.05,3.7315978812085873,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,3.567332447710094
4,62.3,3.7811168230593717,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.215172796984919
5,64.65,3.6300103952378158,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.36292528392534
6,73.85,4.020042884597992,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.478837711768454
7,74.65,4.00349879876226,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.594990172418355
8,69.2,4.013527234354467,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.053100304059131
9,54.0,3.6557330492426847,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,3.7729223030604193
10,48.55,3.4776574951957597,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,3.746988221901804
11,45.25,3.317089210064043,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,3.5428291962582743
0,26.2,1.914481677518803,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,11.159711885632973
1,19.1,1.9953432831320141,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.230562715297949
2,33.3,2.0347505213106043,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.348761802438746
3,48.05,2.1066879228233066,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.341997250404382
4,62.3,2.134644031725976,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.312123083994303
5,64.65,2.049336317259823,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.53337899174767
6,73.85,2.2695306578616212,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.706955152619105
7,74.65,2.2601906306309814,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.880890757027875
8,69.2,2.265852222479691,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.069423300818362
9,54.0,2.06385814041979,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.649863270207907
10,48.55,1.9633249021119097,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.611027587727565
11,45.25,1.8726754597433017,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.305304202083189
0,26.2,1.7593292427972063,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,10.824414255679669
1,19.1,1.833637703956903,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.043363177072923
2,33.3,1.86985132110435,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.188056295529439
3,48.05,1.9359588089002986,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.181494986937921
4,62.3,1.9616493132727573,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.122473034626852
