,Unnamed: 0,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,G_EUI,E_EUI,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec
1013,1013,580 Harrison Ave,Yes,Office,443 Albany St,02118,77000,41.8,99,,Office,1887.0,228.2,3,3218003.5,0.41,0.59,0%,18.898701298701297,,,,03-06510-000,24.661999999999995,17.137999999999998,6.17232132438399,3.1120934975171495,2.082845533201565,1.3887157729050703,1.0085254775466312,0.94854855681534,0.3984936759977991,1.852159343676644,1.5803461479587224,1.8046346759608698,1.5545542399886512,2.7587617540475646,2.479003788671132,1.3840490449096075,1.1881669445261855,1.1866642757930042,1.4021667584380344,1.4513162561318411,1.489874237272666,1.5285120647303136,1.3482537463308497,1.2550532303930406,1.246426322728127,1.1785133300751998
1014,1014,Biosquare - Phase I,Yes,Office,670 Albany Street,02118,221299,115.2,29,,"Medical Office, Office",2005.0,2461,11.1,25494428.1,0.99,0.0,0%,50.09014952620662,,,,0801066100,0.0,114.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.496990552594546,9.210411102453667,7.906877330454104,7.896877542632779,9.330978787859783,9.658053237211124,9.91464447499551,10.171767064906224,8.972204648240213,8.351984526774741,8.294575169477037,7.842635562400304
1099,1099,100 Bay State Road,Yes,Office,100 Bay State Road,02215,123678,163.6,Not Available,,"Food Service, Office",2012.0,1496.3,12.1,20228426.2,0.48,0.52,0%,41.59996118954058,,,,Not Available,85.072,78.52799999999999,21.29153027767395,10.735220907500567,7.1848120671690685,4.790399328220752,3.478926260070028,3.2720348238340207,1.3746108995411879,6.3890560248665755,5.451431655954281,6.225118853026647,5.3624620186649326,9.516396883478,11.359038949513751,6.341848722059847,5.444297690497859,5.4374123147084275,6.4248658657149,6.650073693635268,6.826750151975022,7.00379247398425,6.177831146683917,5.750777224664763,5.7112478860540525,5.400063880507953
1105,1105,577-599 Commonwealth Avenue (595 Comm Ave),Yes,Office,577-599 Commonwealth Avenue (595 Comm Ave),02215,481119,94.8,64,,"College/University, Office, Parking",1996.0,3238.2,7.6,40186541,0.63,0.37,0%,15.187882703285148,,,,0503991000,35.076,59.724,8.778701758741907,4.426234349157066,2.962366795984839,1.9751275018416292,1.4343946010228548,1.3490912812770608,0.5667652331237858,2.6342689619171997,2.247677458673269,2.566676096585982,2.210994425506526,3.9237015361678855,8.639049029909833,4.823255056493255,4.140627995966969,4.135391364655233,4.886393247809147,5.057673712289537,5.192043934348974,5.326692411830626,4.69851247204246,4.3737191697977575,4.343655368106819,4.106986236749401
1107,1107,983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215,36865,157.3,13,,Office,1981.0,429.9,11.7,5799373,0.48,0.52,0%,5.617794656177947,,,,Not Available,81.796,75.504,20.47162416062416,10.32182303636821,6.908135318861214,4.605927960446969,3.3449578282947154,3.1460334828184076,1.3216766167348952,6.1430226938356505,5.241504886806897,5.985398505996892,5.155961341907053,9.149934167304949,10.921618745467686,6.097633276161456,5.234645640069153,5.228025410168923,6.177453549370134,6.393988948709216,6.563861851501658,6.734086529081435,5.939931781010882,5.52932308948513,5.4913159686815565,5.192115210292794
1218,1218,100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,02215,96292,93.9,Not applicable to this property type,,Other - Stadium,2002.0,645.5,6.7,9046387.8,0.42,0.58,0%,3.7053960869023386,,,,Not Available,54.461999999999996,39.438,13.630563781064023,6.8725503228359015,4.59962425712528,3.066752024327141,2.2271638374075353,2.09471460146286,0.8800082143456386,4.090191475765039,3.489936416759709,3.9852410073060134,3.432979199507823,6.092274862093037,5.70468849443413,3.184976440258205,2.734212157674391,2.730754213369384,3.2266689589963358,3.339771881743935,3.428501585340146,3.517415031440899,3.1026042273191776,2.8881310129677176,2.8682787557329843,2.7119972407227064
1219,1219,664 Malvern Street,Yes,Other - Stadium,664 Malvern Street,02215,73500,0.3,Not applicable to this property type,,Other - Stadium,1962.0,1.9,0,19915.8,1.0,0.0,0%,4.98639455782313,,,,Not Available,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04339486151250669,0.024227722807380225,0.02079881452665747,0.020772510370982687,0.02454487265325069,0.025405232631552827,0.026080188539024385,0.026756542153057193,0.02360112754692817,0.021969656267820763,0.021818642596477894,0.020629828394361067
1233,1233,710 Albany Street,Yes,Parking,710 Albany Street,02118,312921,0.9,Not applicable to this property type,,Parking,2000.0,27.8,0.1,287024.2,1.0,0.0,0%,,,Retail space on first floor? ,,Not Available,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13018458453752008,0.07268316842214068,0.06239644357997241,0.06231753111294806,0.07363461795975207,0.07621569789465849,0.07824056561707315,0.08026962645917159,0.0708033826407845,0.0659089688034623,0.06545592778943368,0.06188948518308321
1299,1299,10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,02215,384971,150.9,8,,Residence Hall/Dormitory,2000.0,4317.9,11.2,58103395.3,0.49,0.51,0%,44.84675469061306,,,,2100401000,76.959,73.941,19.261036282672436,9.711442846298855,6.499623282363931,4.333556774268159,3.1471540112931318,2.9599930412761237,1.2435193743862878,5.77975553199298,4.9315489092837295,5.631452438053387,4.851063975155569,8.60885353295542,10.695531516987526,5.971406840335004,5.126283816385267,5.119800631136103,6.049574762846698,6.261627686698826,6.42798406921334,6.5946849444640065,5.816969906491386,5.414861180329783,5.377640840753907,5.084633804358173
1301,1301,140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,02215,128887,89.3,63,,Residence Hall/Dormitory,1958.0,753.9,5.8,11503428.7,0.28,0.72,0%,37.545291612032244,,,,0504003000,64.29599999999999,25.004,16.09178379176843,8.11350107519109,5.430161236020105,3.620503987296424,2.629314496161634,2.472949396196541,1.0389080120004255,4.8287420793542095,4.120101205464034,4.70484109664991,4.0528594361491495,7.192334187748043,3.616817057529058,2.019299936919117,1.7335118614151448,1.7313194977201705,2.0457333194062675,2.1174414557311567,2.173696780765886,2.2300685999834737,1.9670753106113066,1.8310976177353013,1.8185111316077776,1.7194274305753474
1305,1305,33 Harry Agganis Way,Yes,Residence Hall/Dormitory,33 Harry Agganis,02215,399578,126.7,24,,Residence Hall/Dormitory,2008.0,3422.6,8.6,50630449.7,0.33,0.67,0%,,,,, 2100401000,84.88900000000001,41.811,21.245729661245345,10.712128169277973,7.169356681045644,4.780094608958663,3.471442675511151,3.2649962873853466,1.3716539478459646,6.375312404726571,5.439704977457953,6.211727881260333,5.350926724450436,9.495925980834635,6.047941848998058,3.376617727664582,2.8987307805802516,2.8950647704038572,3.420818901683549,3.540727271859518,3.6347958766838286,3.729059279871581,3.289289146215379,3.0619109940461797,3.040864218671124,2.875179183322102
1306,1306,40-48 Buswell Street,Yes,Residence Hall/Dormitory,40-48 Buswell Street,02215,58302,127.0,60,,Residence Hall/Dormitory,1896.0,431,7.4,7405263.8,0.12,0.88,0%,44.39127302665432,,,,Not Available,111.76,15.24,27.970911978475183,14.102974993208852,9.438764771332696,6.293199042245994,4.570302788525324,4.298507286906269,1.805841100864246,8.393371512825471,7.161604310107325,8.178005489635344,7.044723942143042,12.501792783730268,2.20445896483534,1.2307683186149154,1.0565797779541994,1.0552435268459206,1.246879530785135,1.2905858176828837,1.3248735777824387,1.3592323413753054,1.198937279383951,1.1160585384052948,1.108387043901077,1.0479952824335423
1307,1307,512 Beacon Street,Yes,Residence Hall/Dormitory,512 Beacon Street,02215,70768,88.8,79,2013,Residence Hall/Dormitory,1926.0,369.7,5.2,6280826.8,0.13,0.87,0%,41.94409902780918,,,,0503696000,77.256,11.544,19.33536843064673,9.748921224725688,6.524706613941291,4.350280826841057,3.1592995009870473,2.971416239774792,1.2483183615637812,5.802060751564465,4.950580731761377,5.6531853266577325,4.869785190356145,8.642076801179899,1.6698342710012577,0.9322827736279911,0.8003383829857795,0.7993261990754138,0.9444866996970867,0.9775933516621529,1.0035656549816583,1.0295917420496408,0.908171388005796,0.845392373185743,0.8395813671124694,0.7938357966150139
1308,1308,514-522 Park Drive,Yes,Residence Hall/Dormitory,514-522 Park Drive,02215,36968,88.5,84,,Residence Hall/Dormitory,1915.0,194.3,5.3,3272580.2,0.14,0.86,0%,35.50367885739018,,,,Not Available,76.11,12.39,19.048551455634808,9.604307683725175,6.427920425430668,4.285749634085026,3.112435086208504,2.9273388475880116,1.2298010575051697,5.71599414675328,4.87714481068601,5.5693271100227815,4.797547774127657,8.513881968232916,1.7922077804665266,1.0006049519448033,0.8589910399509536,0.857904678321585,1.0137032405792537,1.0492361076831318,1.077111786661707,1.1050451909212622,0.9747265676881335,0.9073468038609975,0.9011099392345371,0.8520119126871122
1311,1311,700 Commonwealth Avenue,Yes,Residence Hall/Dormitory,700 Commonwealth Avenue,02215,636611,217.3,4,,"Parking, Residence Hall/Dormitory",1966.0,6148.9,14.5,92333733.7,0.31,0.69,0%,,,Break off retail? ,,2100347001,149.93699999999998,67.363,37.52572145057832,18.9205239938865,12.663028574796977,8.442943672129898,6.13150938800216,5.766869068332724,2.4227129307469797,11.26053099962878,9.607994501114549,10.97159635915761,9.451188025349866,16.772381036275636,9.744026853556628,5.44017363824518,4.670235143197424,4.664328720401689,5.511387521803088,5.704575619197644,5.856132468514332,6.008003163521305,5.299475849812408,4.933139850564033,4.899230737421801,4.632290433764482
1312,1312,722-728 Commonwealth Avenue,Yes,Residence Hall/Dormitory,722-728 Commonwealth Avenue,02215,87469,89.6,80,,Residence Hall/Dormitory,1974.0,461.5,5.3,7836098.2,0.13,0.87,0%,68.45853959688576,,,,Not Available,77.952,11.648,19.509560939030933,9.83674934386736,6.583487754607429,4.3894725460017865,3.1877616586535975,2.998185755448439,1.2595644729292208,5.854331569146127,4.995180558173642,5.704114924195189,4.913657129008003,8.719933348938277,1.6848778229922599,0.9406817175345495,0.807548638688354,0.8065273360040212,0.9529955888835467,0.9864004989744245,1.01260678700852,1.0388673433293674,0.9163531122220644,0.8530085206919208,0.8471451632125817,0.8009874704583924
1379,1379,213-217 Bay State Road,Yes,Worship Facility,213-217 Bay State Road,02215,130204,27.3,Not Available,,Worship Facility,2003.0,259,2,3554081.5,0.45,0.55,0%,5.186476605941445,,,,Not Available,15.015000000000002,12.285,3.7579030364782113,1.8947402426899689,1.2681017630776703,0.8454937689631675,0.6140219789701838,0.5775061463215609,0.24261546286217484,1.1276527672250758,0.9621643585921752,1.0987182572197094,0.9464614351402809,1.6796207824598246,1.7770195789371492,0.9921252489622202,0.8517114548666235,0.8506342996917411,1.0051125351506158,1.0403442762620885,1.0679837206730485,1.0956804011676922,0.9664661730467086,0.8996574241672602,0.8934734143257698,0.8447914727490857
