,Property Name,Year Built,Property Uses,Water Intensity (gal/sf)_num,GHGI/GUI,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,Type Index,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1675,140 Bay State Road,1958,Residence Hall/Dormitory,42.7,0.08164363035606226,1.6584580040268793,1.5066745700243953,1.466257182153474,1.5607613115181564,1.5280608378134442,1.7581508251180165,1.9950018215273206,1.9224475622859827,2.4291349364460117,1.7985748697094217,1.4886104495381385,1.8212676298387602,9.131700255215485,8.176332516501443,6.403974407604847,6.033933868621636,4.193717888576407,3.0012762279011866,2.5002720904835805,2.386157969542571,3.755695324399874,3.1418777274618015,4.629907702569446,9.111754021121733,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1687,2 Cummington Street (23-25 Blandford Street),1905,Laboratory,11.6,0.15943956991176017,5.901432357273952,5.361328437521098,5.217507804138282,5.55378989604207,5.437429015543073,6.256177812839691,7.098984884630814,6.840808884933969,8.643797720122892,6.400022133397921,5.297049339175256,6.480771714380958,8.801950016436846,7.881081082015294,6.172723706090208,5.816045515046287,4.0422806494556305,2.892898650327303,2.409986021536273,2.2999926182684947,3.6200752979657658,3.028422959796591,4.46271943228283,8.78272405077847,4,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1689,20-28 Cummington Street (24 Cummington St),1983,Laboratory,67.1,0.14664914813620297,15.988107483459215,14.524862800055754,14.135225233164142,15.046277653089506,14.73103380182434,16.949180682216284,19.232506023564508,18.533057926406375,23.417699068305897,17.338882422190554,14.35071844474065,17.557648460982783,27.01428799266319,24.18802579491089,18.94486285244364,17.850172771771817,12.406266044188401,8.878668604978566,7.396549210401959,7.058965667252987,11.110464893773788,9.294609699755677,13.696645373924309,26.955281093934776,4,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1692,213-217 Bay State Road,2003,Worship Facility,3.5,0.14416437774102006,1.126633413208778,1.0235230010647536,0.9960664242087616,1.0602655233538314,1.0380512458659301,1.1943573248336754,1.3552563321396147,1.3059683474373032,1.650174184662986,1.2218184237720484,1.0112515768438022,1.2372342026085141,1.9266348791768233,1.7250683848325201,1.351130689161685,1.2730583708431704,0.8848038078061538,0.6332187107670483,0.5275152799947379,0.5034391233681577,0.7923884277100993,0.6628832579540116,0.9768325084964407,1.9224265598891528,9,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1694,22-24 Buswell Street,1914,Multifamily Housing,42.3,0.06806690003889537,0.6797543482927104,0.6175426739473432,0.6009767463898272,0.639711277328374,0.6263082914595504,0.7206155750863492,0.8176940023457447,0.7879560933443078,0.9956327091971101,0.7371842310425846,0.6101387092893285,0.7464853422767713,7.516849438310715,6.730429029249296,5.271494911505367,4.966892379680093,3.4521003837346482,2.470530229573548,2.0581237155962655,1.9641895475962992,3.0915377750772652,2.5862677454205256,3.811154345940405,7.50043049831557,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1696,233 Bay State Road,1968,College/University,5.4,0.18892240012414896,3.6885942772356253,3.351011109810628,3.261118362909889,3.4713060130664215,3.3985765379291415,3.910322152445834,4.437105000001591,4.275736291974702,5.4026651283614076,4.000229704630169,3.3108345052254555,4.050700916409133,4.333196182040424,3.879852804340759,3.0388292078541386,2.8632366888370555,1.9900130135080845,1.4241727529944224,1.186435074931182,1.1322853701271876,1.7821615017752874,1.4908913118670972,2.196994844253137,4.323731247471227,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1698,25 Buick Street,1928,"Office, Parking",10.7,0.09012539184952979,5.298597996948305,4.8136659712818535,4.684536689807882,4.98646739250835,4.881992835992391,5.6171060211859,6.373819915720675,6.142016727606911,7.760829322972343,5.746256570178094,4.755953015998867,5.818757539798421,22.383897043837738,20.042071041591836,15.697613785486224,14.790559338323915,10.279766836978787,7.356818139873621,6.128741799535202,5.849021850018383,9.206072814465786,7.7014647448228475,11.348968367374459,22.33500423769117,5,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1707,"285 Babcock, Case Center",1972,Indoor Arena,126.5,0.10899427499143215,9.206710146940276,8.364104498455337,8.139732718090375,8.664359886602913,8.482827534058611,9.760141650956824,11.074988615221052,10.672213246089587,13.485021154205937,9.984550385224672,8.263823923986429,10.110526240167983,26.019672274880637,23.297467781896373,18.247348323487977,17.1929626906192,11.949490458990931,8.551772580552807,7.124222058784419,6.799067712295077,10.701398291010841,8.952399499711099,13.19236042762113,25.962837900149484,2,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1709,300 Babcock Street,1986,College/University,3.4,0.10598477955165854,1.9105375361245183,1.7356835770133994,1.6891228944685264,1.797991304781958,1.760320479044912,2.025383300270667,2.298234779180431,2.2146525387198888,2.798354534828688,2.0719516513331153,1.7148737764864814,2.0980936277474114,5.6551500807305,5.063502545910213,3.965902885114796,3.7367413132914904,2.5971181043309626,1.858653594418646,1.5483878707331467,1.4777183938322307,2.325856097263885,1.9457263803586917,2.8672451116654094,5.642797622350022,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1710,30-38 Cummington Street,1917,Laboratory,37.0,0.1371405541411316,8.390822710457432,7.622887747976092,7.4183995214299605,7.896534869433824,7.7310896928071084,8.895209788845897,10.093536617044226,9.726454710415032,12.28999500862032,9.099731694485063,7.531493915842573,9.214543722642475,15.669502712911685,14.030143452837644,10.988872997234973,10.35390348800551,7.196192603310936,5.150027342217578,4.290331396113628,4.094517749400311,6.444569623377858,5.391291895064262,7.9446706832615686,15.635276056264043,4,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1712,33 Harry Agganis Way,2008,Residence Hall/Dormitory,30.7,0.13455487124043067,3.2116491546066106,2.9177163951917002,2.8394470213083274,3.022456845159132,2.9591314860158966,3.4047070214927655,3.863375435488581,3.722872133753016,4.704086052296429,3.482989286296899,2.8827347332216458,3.526934435168995,6.192688141205265,5.544802829524617,4.342873206761945,4.091929177338976,2.8439815489251035,2.0353238921075785,1.6955665310719068,1.6181797198817518,2.546935318437293,2.130673193401979,3.1397848947353726,6.179161546608214,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1725,40-48 Buswell Street,1896,Residence Hall/Dormitory,44.1,0.0622506148523844,0.8721929627452735,0.792369148891177,0.7711134033806066,0.8208136890568842,0.8036163147643576,0.9246220123689529,1.0491833650144873,1.01102664704283,1.277496561253028,0.945881258688556,0.7828691201126124,0.9578155166812322,14.324846233168131,12.826166297261139,10.045878216128402,9.465397728067522,6.578661390558964,4.7080849421653355,3.9221626023919414,3.7431524301538106,5.891537886378768,4.928645714537198,7.262909869954225,14.293556689234558,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1735,Hotel Commonwealth,2003,"Hotel, Parking",65.3,0.15246068586585831,6.1828807631375735,5.617018454910136,5.466338793829409,5.818658697057113,5.696748386802988,6.554544576300562,7.437546416487839,7.167057605400831,9.056033757351651,6.705249054234611,5.549673787281358,6.789849707205929,9.876046695705378,8.84280467774476,6.9259774762630135,6.525774059575642,4.535557731709429,3.2459173368654524,2.7040751697343195,2.5806593374626563,4.061830914503693,3.397979596503656,5.00730240693855,9.854474596993438,6,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1737,512 Beacon Street,1926,Residence Hall/Dormitory,39.2,0.06632064590542099,0.842958772241776,0.765810495431204,0.7452672006512541,0.7933016306263285,0.7766806784533351,0.8936305033704842,1.014016804773744,0.9771390248465541,1.2346773922910548,0.9141771816192422,0.7566288889089107,0.9257114267861125,10.139414178164746,9.078618387178748,7.110674583080752,6.6997988225323075,4.656508802330517,3.3324771824819384,2.7761855486922786,2.6494785496164783,4.170148970816007,3.4885945317457727,5.140833633497209,10.117266809863242,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1738,514-522 Park Drive,1915,Residence Hall/Dormitory,31.9,0.06701075231223515,0.9074720549707682,0.8244194697197029,0.8023039564304191,0.8540145552333791,0.8361215690984996,0.962021792740276,1.091621493131569,1.0519213846146507,1.3291696667781416,0.9841409484418502,0.8145351769012533,0.9965579319394895,10.034994000144804,8.98512275404781,7.037445706859664,6.630801326872923,4.6085540122857545,3.298157856480686,2.747595160321014,2.622193046041059,4.127202929728148,3.452667440136401,5.087891051830439,10.013074715251285,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1742,565-575 Commonwealth Avenue,1992,Residence Hall/Dormitory,50.0,0.10902528044656755,3.1358066327394063,2.8488150430040786,2.772393986422665,2.9510820659299415,2.889252123846406,3.324305472538201,3.7721425137583267,3.6349571724291807,4.592999899322723,3.4007391156235807,2.8146594667411473,3.4436465076443383,8.71545215932583,7.8036327184095615,6.112063582808649,5.758890512692014,4.002556654958241,2.8644697756318798,2.38630278928193,2.2773903048629576,3.584500367948006,2.9986622708629986,4.418863733595686,8.69641512962224,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1744,577-599 Commonwealth Avenue (595 Comm Ave),1996,"College/University, Office, Parking",17.0,0.18488275352047573,4.4050696209168745,4.001914043591839,3.8945604615085365,4.145575119886835,4.058718616462293,4.669866086396113,5.298971632893634,5.106258544907015,6.452082891254655,4.777237349552501,3.9539335049291893,4.837512127700506,5.218567606060821,4.672595772361925,3.6597317541694294,3.448261653783234,2.396618341670062,1.7151639302680939,1.4288509886516951,1.3636372564557948,2.1462979960334643,1.795514621865919,2.645891310534507,5.207168768145055,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1745,580 Commonwealth Avenue,2004,Multifamily Housing,51.9,0.1295672454003628,3.381025240995303,3.0715910435171105,2.9891938961459505,3.1818552996813145,3.115190285119786,3.5842646016765767,4.06712228952296,3.9192091188300315,4.952170337726789,3.666675319810411,3.0347645172064537,3.7129380497673057,6.995201722720129,6.263356626527141,4.905668337366593,4.622204344525475,3.2125345531372402,2.2990825424632746,1.9152958535438787,1.8278804464363878,2.876993951728651,2.4067882078328435,3.5466712038156722,6.97992220990271,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1746,582-596 Commonwealth Avenue (590 Comm / 712 Bea),1983,Laboratory,15.5,0.11320235714814697,10.49404445992492,9.533620921412258,9.277876209009756,9.875859717058479,9.668944483700363,11.124859888669887,12.623556196120354,12.16446249559444,15.37057312294065,11.380646722079096,9.419318549539144,11.524237233950647,27.635166307217702,24.74394719073017,19.38027890044336,18.260429195633684,12.691403359431455,9.082729981700558,7.566546546941836,7.221204209581867,11.365820382655704,9.50823078821056,14.011439904030844,27.574803233422248,4,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1748,605-615 Commonwealth Avenue (2 Silber Way),1981,College/University,5.1,0.0944480055987539,2.441268815753057,2.2178418955184402,2.1583470464575067,2.2974581866960344,2.249322721992176,2.5880177685111625,2.9366650963965313,2.829864411600252,3.5757139193172,2.6475224163394406,2.1912513072008415,2.680926414217352,9.441496197060449,8.45371729282943,6.621231350748801,6.238637064479629,4.335991150599169,3.1030955134420704,2.5850946454834167,2.467109165366493,3.883108526518577,3.248466965231058,4.786978847842042,9.420873280398867,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1749,610 Beacon Street (30 Bay State Road),1926,Residence Hall/Dormitory,40.5,0.07266432633710435,1.0989678865859558,0.9983894460831205,0.9716070908941546,1.0342297217171101,1.0125609363813526,1.1650287748546366,1.3219767580581305,1.273899085456437,1.6096526296453133,1.1918155410820634,0.9864193580461526,1.2068527711955714,9.053052550084967,8.10591301401727,6.348819521132853,5.981965994248475,4.157599063091201,2.97542742853303,2.4787382406393403,2.3656069392701706,3.723349013178723,3.1148179832565064,4.590032147569136,9.033278104978328,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1751,622-640 Commonwealth Avenue,1902,College/University,18.5,0.10664781539567862,3.2691113724174157,2.969919623794732,2.8902498691121203,3.07653407003632,3.0120757055724954,3.4656233940580488,3.932498216362867,3.7894810561892203,4.7882506681449915,3.545306270303331,2.9343120765605213,3.5900376774479397,9.595107737118342,8.591257837830112,6.728957660608969,6.340138630262746,4.406536990413023,3.1535823505722895,2.627153696443132,2.5072486125974183,3.9462860429334192,3.3013189711993167,4.864862180916997,9.574149289104234,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1753,631-639 Commonwealth Avenue,1957,College/University,15.5,0.16719866241070072,4.123732130681183,3.7463247907416757,3.645827533291181,3.880810700665298,3.799501440028493,4.371616905896214,4.960543524300398,4.780138395364478,6.040009311577516,4.47213071518708,3.701408613255841,4.528555939010642,5.770519539631994,5.16680193505614,4.046810387723898,3.812973741647063,2.6501013330910443,1.8965715729713384,1.5799761872704583,1.5078649980905543,2.3733053701555806,1.9854207114494324,2.9257391414167935,5.757915081495698,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1754,642-648 Beacon Street,1990,Office,22.9,0.13942917694956847,2.5836686369210433,2.3472091684966405,2.284243969996094,2.431469497869697,2.380526279459472,2.7389774928305344,3.107961506631525,2.9949311111546884,3.784286207372083,2.8019530616629775,2.3190675445058115,2.837305523099435,4.193823092688314,3.755061068897618,2.9410881878496804,2.7711434333958453,1.9260061580850463,1.3783656055639395,1.1482745313596245,1.095866499752269,1.7248399904030844,1.442938226132287,2.1263306172321412,4.184662588640148,5,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
