,Property Name,Year Built,Water Intensity (gal/sf)_num,GHGI/GUI,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
741,580 Commonwealth Avenue,2004.0,51.63971408895539,0.14690579665789313,6.811402112541425,3.8028641309224245,3.264651257485912,3.260522469530679,3.852645027896406,3.987689997957304,4.093633327047064,4.199796044817701,3.704511650191002,3.4484304799847063,3.424726870751825,3.2381266308735612,12.26630607531359,6.184689579385817,4.139256444235744,2.759806534176077,2.004251162924254,1.8850585239671005,0.7919298335223475,3.6808118397914202,3.1406351900739984,3.5863656679717058,3.08937871446289,5.482510434175055,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1012,560 Harrison Ave,1902.0,23.00408163265306,0.1892147587511826,1.2668406570884454,0.7072879878234533,0.607186725414887,0.6064188194302211,0.7165466489905651,0.7416634246237989,0.7613676374159185,0.7811126539215829,0.6889955835199897,0.6413674986452474,0.6369589061998446,0.6022534569260474,1.5872541496733141,0.800295878730588,0.5356178076216173,0.3571176478697574,0.25934914356502864,0.24392567299176413,0.10247534235577173,0.47629529468807386,0.4063966941186529,0.46407400514734565,0.399764130646664,0.7094342325914222,0,0,0,0,1,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1013,580 Harrison Ave,1887.0,18.898701298701297,0.12164463547157572,2.479003788671132,1.3840490449096075,1.1881669445261855,1.1866642757930042,1.4021667584380344,1.4513162561318411,1.489874237272666,1.5285120647303136,1.3482537463308497,1.2550532303930406,1.246426322728127,1.1785133300751998,6.17232132438399,3.1120934975171495,2.082845533201565,1.3887157729050703,1.0085254775466312,0.94854855681534,0.3984936759977991,1.852159343676644,1.5803461479587224,1.8046346759608698,1.5545542399886512,2.7587617540475646,0,0,0,0,1,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1099,100 Bay State Road,2012.0,41.59996118954058,0.1422324619146135,11.359038949513751,6.341848722059847,5.444297690497859,5.4374123147084275,6.4248658657149,6.650073693635268,6.826750151975022,7.00379247398425,6.177831146683917,5.750777224664763,5.7112478860540525,5.400063880507953,21.29153027767395,10.735220907500567,7.1848120671690685,4.790399328220752,3.478926260070028,3.2720348238340207,1.3746108995411879,6.3890560248665755,5.451431655954281,6.225118853026647,5.3624620186649326,9.516396883478,0,0,0,0,0,0,0,1,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1105,577-599 Commonwealth Avenue (595 Comm Ave),1996.0,15.187882703285148,0.21667236857110272,8.639049029909833,4.823255056493255,4.140627995966969,4.135391364655233,4.886393247809147,5.057673712289537,5.192043934348974,5.326692411830626,4.69851247204246,4.3737191697977575,4.343655368106819,4.106986236749401,8.778701758741907,4.426234349157066,2.962366795984839,1.9751275018416292,1.4343946010228548,1.3490912812770608,0.5667652331237858,2.6342689619171997,2.247677458673269,2.566676096585982,2.210994425506526,3.9237015361678855,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1107,983-985 Commonwealth Avenue,1981.0,5.6177946561779475,0.14303877940241574,10.921618745467686,6.097633276161456,5.234645640069153,5.228025410168923,6.177453549370134,6.393988948709216,6.563861851501658,6.734086529081435,5.939931781010882,5.52932308948513,5.4913159686815565,5.192115210292794,20.47162416062416,10.32182303636821,6.908135318861214,4.605927960446969,3.3449578282947154,3.1460334828184076,1.3216766167348952,6.1430226938356505,5.241504886806897,5.985398505996892,5.155961341907053,9.149934167304949,0,0,0,0,1,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1218,100 Ashford Street,2002.0,3.7053960869023386,0.12302155631449452,5.70468849443413,3.184976440258205,2.734212157674391,2.730754213369384,3.2266689589963358,3.339771881743935,3.428501585340146,3.517415031440899,3.1026042273191776,2.8881310129677176,2.8682787557329843,2.7119972407227064,13.630563781064023,6.8725503228359015,4.59962425712528,3.066752024327141,2.2271638374075353,2.09471460146286,0.8800082143456386,4.090191475765039,3.489936416759709,3.9852410073060134,3.432979199507823,6.092274862093037,0,1,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1299,10 Buick Street,2000.0,44.84675469061306,0.1455320365389363,10.695531516987526,5.971406840335004,5.126283816385267,5.119800631136103,6.049574762846698,6.261627686698826,6.42798406921334,6.5946849444640065,5.816969906491386,5.414861180329783,5.377640840753907,5.084633804358173,19.261036282672436,9.711442846298855,6.499623282363931,4.333556774268159,3.1471540112931318,2.9599930412761237,1.2435193743862878,5.77975553199298,4.9315489092837295,5.631452438053387,4.851063975155569,8.60885353295542,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1301,140 Bay State Road,1958.0,37.545291612032244,0.09020778897598607,3.616817057529058,2.019299936919117,1.7335118614151448,1.7313194977201705,2.0457333194062675,2.1174414557311567,2.173696780765886,2.2300685999834737,1.9670753106113066,1.8310976177353013,1.8185111316077776,1.7194274305753474,16.09178379176843,8.11350107519109,5.430161236020105,3.620503987296424,2.629314496161634,2.472949396196541,1.0389080120004255,4.8287420793542095,4.120101205464034,4.70484109664991,4.0528594361491495,7.192334187748043,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1306,40-48 Buswell Street,1896.0,44.39127302665432,0.0662133142448103,2.20445896483534,1.2307683186149154,1.0565797779541994,1.0552435268459206,1.246879530785135,1.2905858176828837,1.3248735777824387,1.3592323413753054,1.198937279383951,1.1160585384052948,1.108387043901077,1.0479952824335423,27.970911978475183,14.102974993208852,9.438764771332696,6.293199042245994,4.570302788525324,4.298507286906269,1.805841100864246,8.393371512825471,7.161604310107325,8.178005489635344,7.044723942143042,12.501792783730268,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
