,Unnamed: 0,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Tax Parcel,G_EUI,E_EUI,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec
1654,1654,111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),2215,"93,831",315.1,Not Available,,College/University,1911,"1,848.70",19.7,"29,568,552.40",0.29100000000000004,0.7090000000000001,,11.6,,,,"2100282000, 504100000",223.40590000000003,91.69410000000002,32.658664214902764,29.241881654328385,22.903210133222036,21.57979506584156,14.998436272240074,10.73378120216035,8.941987183860906,8.533868799131547,13.431889907139908,11.236629196939779,16.55842797926347,32.58732839096925,7.26450619904273,6.5996526455938325,6.422613272860542,6.836567579775718,6.6933304321586435,7.70118841532928,8.738661494229715,8.420853708475793,10.640284988390528,7.878256946345204,6.520526785949489,7.977657531848543
1662,1662,120 Ashford Street,Yes,Distribution Center,120 Ashford Street,2215,"65,198",119.2,10,,"Distribution Center, Office, Parking",1958,494.5,7.6,"7,768,569.60",0.326,0.674,,5.6,,,,2100414000,80.3408,38.8592,11.744646000650205,10.51590922895978,8.236408370016926,7.760484389292151,5.393708800263489,3.860061747727003,3.21570022967671,3.0689334812431883,4.8303504099558054,4.040894976298743,5.954710017042569,11.718992348873426,3.078637549088122,2.7968781206823534,2.7218503010852646,2.897280707221299,2.8365779906159623,3.2636998549411955,3.703372351509762,3.5686880445786855,4.509264635574864,3.338740031576923,2.7633452368316864,3.380865176293882
1675,1675,140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,2215,"128,887",83.4,68,,Residence Hall/Dormitory,1958,657.9,5.1,"10,743,306.30",0.251,0.7490000000000001,,42.7,,,,504003000,62.466600000000014,20.933400000000002,9.131700255215485,8.176332516501443,6.403974407604847,6.033933868621636,4.193717888576407,3.0012762279011866,2.5002720904835805,2.386157969542571,3.755695324399874,3.1418777274618015,4.629907702569446,9.111754021121733,1.6584580040268793,1.5066745700243953,1.466257182153474,1.5607613115181564,1.5280608378134442,1.7581508251180165,1.9950018215273206,1.9224475622859827,2.4291349364460117,1.7985748697094217,1.4886104495381385,1.8212676298387602
1687,1687,2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),2215,"61,754",134.7,Not Available,,Laboratory,1905,590.5,9.6,"8,317,673.80",0.5529999999999999,0.447,,11.6,,,,2100295000,60.210899999999995,74.48909999999998,8.801950016436846,7.881081082015294,6.172723706090208,5.816045515046287,4.0422806494556305,2.892898650327303,2.409986021536273,2.2999926182684947,3.6200752979657658,3.028422959796591,4.46271943228283,8.78272405077847,5.901432357273952,5.361328437521098,5.217507804138282,5.55378989604207,5.437429015543073,6.256177812839691,7.098984884630814,6.840808884933969,8.643797720122892,6.400022133397921,5.297049339175256,6.480771714380958
1689,1689,20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),2215,"188,575",386.6,Not Available,,Laboratory,1983,"5,102.00",27.1,"72,894,793.20",0.522,0.478,,67.1,,,,2100288000,184.7948,201.8052,27.01428799266319,24.18802579491089,18.94486285244364,17.850172771771817,12.406266044188401,8.878668604978566,7.396549210401959,7.058965667252987,11.110464893773788,9.294609699755677,13.696645373924309,26.955281093934776,15.988107483459215,14.524862800055754,14.135225233164142,15.046277653089506,14.73103380182434,16.949180682216284,19.232506023564508,18.533057926406375,23.417699068305897,17.338882422190554,14.35071844474065,17.557648460982783
1692,1692,213-217 Bay State Road,Yes,Worship Facility,213-217 Bay State Road,2215,"130,204",27.4,Not Available,,Worship Facility,2003,249.5,1.9,"3,569,253.40",0.519,0.48100000000000004,,3.5,,,,504079000,13.179400000000001,14.2206,1.9266348791768233,1.7250683848325201,1.351130689161685,1.2730583708431704,0.8848038078061538,0.6332187107670483,0.5275152799947379,0.5034391233681577,0.7923884277100993,0.6628832579540116,0.9768325084964407,1.9224265598891528,1.126633413208778,1.0235230010647536,0.9960664242087616,1.0602655233538314,1.0380512458659301,1.1943573248336754,1.3552563321396147,1.3059683474373032,1.650174184662986,1.2218184237720484,1.0112515768438022,1.2372342026085141
1694,1694,22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,2215,"35,036",60.0,93,,Multifamily Housing,1914,121.4,3.5,"2,101,919.80",0.14300000000000002,0.857,,42.3,,,,"2100199000, 2100200000",51.42,8.580000000000002,7.516849438310715,6.730429029249296,5.271494911505367,4.966892379680093,3.4521003837346482,2.470530229573548,2.0581237155962655,1.9641895475962992,3.0915377750772652,2.5862677454205256,3.811154345940405,7.50043049831557,0.6797543482927104,0.6175426739473432,0.6009767463898272,0.639711277328374,0.6263082914595504,0.7206155750863492,0.8176940023457447,0.7879560933443078,0.9956327091971101,0.7371842310425846,0.6101387092893285,0.7464853422767713
1696,1696,233 Bay State Road,Voluntary,Other,233 Bay State Road,2215,"19,300",76.2,Not Available,,College/University,1968,107.2,5.6,"1,471,333.30",0.611,0.389,,5.4,,LEED Project Number 1000023830,,2100356000,29.641800000000003,46.5582,4.333196182040424,3.879852804340759,3.0388292078541386,2.8632366888370555,1.9900130135080845,1.4241727529944224,1.186435074931182,1.1322853701271876,1.7821615017752874,1.4908913118670972,2.196994844253137,4.323731247471227,3.6885942772356253,3.351011109810628,3.261118362909889,3.4713060130664215,3.3985765379291415,3.910322152445834,4.437105000001591,4.275736291974702,5.4026651283614076,4.000229704630169,3.3108345052254555,4.050700916409133
1698,1698,25 Buick Street,Yes,Office,25 Buick Street,2215,"96,215",220.0,14,,"Office, Parking",1928,"1,332.00",13.8,"21,162,762.60",0.304,0.696,,10.7,,,,2100400000,153.11999999999998,66.88,22.383897043837738,20.042071041591836,15.697613785486224,14.790559338323915,10.279766836978787,7.356818139873621,6.128741799535202,5.849021850018383,9.206072814465786,7.7014647448228475,11.348968367374459,22.33500423769117,5.298597996948305,4.8136659712818535,4.684536689807882,4.98646739250835,4.881992835992391,5.6171060211859,6.373819915720675,6.142016727606911,7.760829322972343,5.746256570178094,4.755953015998867,5.818757539798421
1707,1707,"285 Babcock, Case Center",Yes,Indoor Arena,"285 Babcock, Case Center",2215,"131,857",294.2,Not Available,,Indoor Arena,1972,"2,556.20",19.4,"38,795,194.60",0.395,0.605,,126.5,,Shares electric meter with 273-277 Babcock Street,,2100402000,177.99099999999999,116.209,26.019672274880637,23.297467781896373,18.247348323487977,17.1929626906192,11.949490458990931,8.551772580552807,7.124222058784419,6.799067712295077,10.701398291010841,8.952399499711099,13.19236042762113,25.962837900149484,9.206710146940276,8.364104498455337,8.139732718090375,8.664359886602913,8.482827534058611,9.760141650956824,11.074988615221052,10.672213246089587,13.485021154205937,9.984550385224672,8.263823923986429,10.110526240167983
1709,1709,300 Babcock Street,Yes,College/University,300 Babcock Street,2215,"88,000",62.8,Not Available,,College/University,1986,362.2,4.1,"5,526,473.50",0.384,0.616,,3.4,,,,2100412001,38.684799999999996,24.115199999999998,5.6551500807305,5.063502545910213,3.965902885114796,3.7367413132914904,2.5971181043309626,1.858653594418646,1.5483878707331467,1.4777183938322307,2.325856097263885,1.9457263803586917,2.8672451116654094,5.642797622350022,1.9105375361245183,1.7356835770133994,1.6891228944685264,1.797991304781958,1.760320479044912,2.025383300270667,2.298234779180431,2.2146525387198888,2.798354534828688,2.0719516513331153,1.7148737764864814,2.0980936277474114
