,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Gas
10,48.55,4.673105205401523,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.302475638823511
11,45.25,4.457341436224137,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,7.6353110974077785
0,26.2,3.3911409915274002,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,27.400281347561407
1,19.1,3.534371981228522,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,13.815262189124061
2,33.3,3.604174425576537,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,9.246205862253968
3,48.05,3.7315978812085873,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,6.164812376029809
4,62.3,3.7811168230593717,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.477064685824557
5,64.65,3.6300103952378158,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,4.2108140459063925
6,73.85,4.020042884597992,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,1.769000391218841
7,74.65,4.00349879876226,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,8.222139524195889
8,69.2,4.013527234354467,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,7.015501430480941
9,54.0,3.6557330492426847,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,8.011167152874709
10,48.55,3.4776574951957597,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,6.901005522421441
11,45.25,3.317089210064043,0.9,1972.0,0,1,0,0,0,0,0,0,0,0,12.246745472107998
0,26.2,1.914481677518803,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,19.308839111841092
1,19.1,1.9953432831320141,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,9.735545103132274
2,33.3,2.0347505213106043,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,6.515754313782368
3,48.05,2.1066879228233066,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,4.34431197306083
4,62.3,2.134644031725976,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,3.1549647470895557
5,64.65,2.049336317259823,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,2.967339273307254
6,73.85,2.2695306578616212,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,1.2466055917293897
7,74.65,2.2601906306309814,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.794099966128178
8,69.2,2.265852222479691,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,4.943788229462958
9,54.0,2.06385814041979,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,5.645428807492545
10,48.55,1.9633249021119097,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,4.863103544526984
11,45.25,1.8726754597433017,0.9583333333333334,2004.0,0,1,0,0,0,0,0,0,0,0,8.630219338446585
0,26.2,1.7593292427972063,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,20.289422801279763
